Designator,Mid X,Mid Y,Layer,Rotation
C1,78.5,-86.2,top,90
C2,80.8736,-86.2,top,90
C3,83.2612,-86.2076,top,90
C4,85.6488,-86.2076,top,90
C5,94.488,-82.1436,top,180
C8,69.5,-91.200001,top,90
C9,75.155001,-95.100001,top,0
C10,68.15,-85.65,top,180
C11,72,-82.75,top,90
C12,73.5,-82.75,top,90
C13,98,-79.25,top,90
C14,104,-74.55,top,180
C15,83.5,-156.6,top,90
C16,100.05,-156.575,top,90
C17,115.4,-148.9,top,90
C18,133.45,-156.575,top,90
C19,150,-156.6,top,90
C20,138.4,-96.45,top,90
C21,153.6,-88.35,top,-90
C22,148.25,-100.4,top,180
C23,148.25,-102.05,top,180
C24,145.8,-101.25,top,-90
C25,140.5,-104.05,top,180
C26,145.5,-106.75,top,-90
C27,133.75,-100.3,top,180
C28,133.75,-102.8,top,180
C29,155.25,-83.25,top,0
C30,149.75,-80,top,0
C31,144.25,-83.25,top,0
D2,113,-76.75,top,90
D3,114.75,-76.75,top,90
D4,116.5,-76.75,top,90
Q9,72.5,-115.75,top,90
Q10,80.5,-115.75,top,90
Q11,84.5,-115.75,top,90
Q12,84.5,-136.7,top,-90
Q13,80.5,-139.7,top,-90
Q14,78.5,-143.7,top,-90
Q15,74.5,-143.7,top,-90
Q16,72.5,-139.7,top,-90
Q17,68.5,-136.7,top,-90
Q18,68.5,-115.75,top,90
Q19,92.5,-115.75,top,90
Q20,100.5,-115.75,top,90
Q21,104.5,-115.75,top,90
Q22,104.5,-136.7,top,-90
Q23,100.5,-139.7,top,-90
Q24,98.5,-143.7,top,-90
Q25,94.5,-143.7,top,-90
Q26,92.5,-139.7,top,-90
Q27,88.5,-136.7,top,-90
Q28,88.5,-115.75,top,90
Q29,119.5,-115.75,top,90
Q30,127.5,-115.75,top,90
Q31,131.5,-115.75,top,90
Q32,131.5,-136.7,top,-90
Q33,127.5,-139.7,top,-90
Q34,125.5,-143.7,top,-90
Q35,121.5,-143.7,top,-90
Q36,119.5,-139.7,top,-90
Q37,115.5,-136.7,top,-90
Q38,115.5,-115.75,top,90
Q39,139.5,-115.75,top,90
Q40,147.5,-115.75,top,90
Q41,151.5,-115.75,top,90
Q42,151.5,-136.7,top,-90
Q43,147.5,-139.7,top,-90
Q44,145.5,-143.7,top,-90
Q45,141.5,-143.7,top,-90
Q46,139.5,-139.7,top,-90
Q47,135.5,-136.7,top,-90
Q48,135.5,-115.75,top,90
R1,107,-89.200001,top,90
R3,77,-91.200001,top,-90
R4,70.4,-83.25,top,90
R5,68.655,-93.700001,top,0
R8,72.8,-85.15,top,0
R19,155.25,-79.75,top,180
R20,149.75,-83,top,0
R21,76.5,-114.75,top,-90
R22,96.5,-114.75,top,-90
R23,123.5,-114.75,top,-90
R24,143.5,-114.75,top,-90
R27,144.25,-101.65,top,-90
R28,138.4,-93.024999,top,90
R29,153.1,-81.5,top,180
R30,146.4,-81.5,top,180
R31,144.25,-79.75,top,180
R32,113,-80.25,top,-90
R33,114.75,-80.25,top,-90
R34,116.51,-80.21,top,-90
R35,72.5,-113.2,top,180
R36,80.5,-113.2,top,180
R37,84.5,-113.2,top,180
R38,84.5,-139.3,top,0
R39,82.3,-142.3,top,0
R40,78.5,-146.3,top,0
R41,74.5,-146.3,top,0
R42,70.7,-142.3,top,180
R43,68.5,-139.3,top,0
R44,68.5,-113.2,top,180
R45,92.5,-113.2,top,180
R46,100.5,-113.2,top,180
R47,104.5,-113.2,top,180
R48,104.5,-139.3,top,0
R49,102.3,-142.3,top,0
R50,98.475,-146.3,top,0
R51,94.5,-146.3,top,0
R52,90.7,-142.3,top,180
R53,88.5,-139.3,top,0
R54,88.5,-113.2,top,180
R55,119.5,-113.2,top,180
R56,127.5,-113.2,top,180
R57,131.5,-113.2,top,180
R58,131.5,-139.3,top,0
R59,129.3,-142.3,top,0
R60,125.5,-146.3,top,0
R61,121.5,-146.3,top,0
R62,117.7,-142.3,top,180
R63,115.525,-139.3,top,0
R64,115.5,-113.2,top,180
R65,139.5,-113.2,top,180
R66,147.5,-113.2,top,180
R67,151.5,-113.2,top,180
R68,151.5,-139.3,top,0
R69,149.3,-142.3,top,0
R70,145.5,-146.3,top,0
R71,141.5,-146.3,top,0
R72,137.7,-142.3,top,180
R73,135.5,-139.3,top,0
R74,135.5,-113.2,top,180
U2,104,-79.25,top,180
U3,77,-154.35,top,180
U4,93.5,-154.35,top,180
U5,110,-154.35,top,270
U6,127,-154.35,top,180
U7,143.5,-154.35,top,180
Y1,141.8,-106.85,top,0
Y2,136.63,-101.55,top,90
